"id","departamento_id","nombre"
"101","1","Chachapoyas"
"102","1","Bagua"
"103","1","Bongará"
"104","1","Condorcanqui"
"105","1","Luya"
"106","1","Rodríguez de Mendoza"
"107","1","Utcubamba"
"201","2","Huaraz"
"202","2","Aija"
"203","2","Antonio Raymondi"
"204","2","Asunción"
"205","2","Bolognesi"
"206","2","Carhuaz"
"207","2","Carlos Fermín Fitzcarrald"
"208","2","Casma"
"209","2","Corongo"
"210","2","Huari"
"211","2","Huarmey"
"212","2","Huaylas"
"213","2","Mariscal Luzuriaga"
"214","2","Ocros"
"215","2","Pallasca"
"216","2","Pomabamba"
"217","2","Recuay"
"218","2","Santa"
"219","2","Sihuas"
"220","2","Yungay"
"301","3","Abancay"
"302","3","Andahuaylas"
"303","3","Antabamba"
"304","3","Aymaraes"
"305","3","Cotabambas"
"306","3","Chincheros"
"307","3","Grau"
"401","4","Arequipa"
"402","4","Camaná"
"403","4","Caravelí"
"404","4","Castilla"
"405","4","Caylloma"
"406","4","Condesuyos"
"407","4","Islay"
"408","4","La Uniòn"
"501","5","Huamanga"
"502","5","Cangallo"
"503","5","Huanca Sancos"
"504","5","Huanta"
"505","5","La Mar"
"506","5","Lucanas"
"507","5","Parinacochas"
"508","5","Pàucar del Sara Sara"
"509","5","Sucre"
"510","5","Víctor Fajardo"
"511","5","Vilcas Huamán"
"601","6","Cajamarca"
"602","6","Cajabamba"
"603","6","Celendín"
"604","6","Chota"
"605","6","Contumazá"
"606","6","Cutervo"
"607","6","Hualgayoc"
"608","6","Jaén"
"609","6","San Ignacio"
"610","6","San Marcos"
"611","6","San Miguel"
"612","6","San Pablo"
"613","6","Santa Cruz"
"701","7","Prov. Const. del Callao"
"801","8","Cusco"
"802","8","Acomayo"
"803","8","Anta"
"804","8","Calca"
"805","8","Canas"
"806","8","Canchis"
"807","8","Chumbivilcas"
"808","8","Espinar"
"809","8","La Convención"
"810","8","Paruro"
"811","8","Paucartambo"
"812","8","Quispicanchi"
"813","8","Urubamba"
"901","9","Huancavelica"
"902","9","Acobamba"
"903","9","Angaraes"
"904","9","Castrovirreyna"
"905","9","Churcampa"
"906","9","Huaytará"
"907","9","Tayacaja"
"1001","10","Huánuco"
"1002","10","Ambo"
"1003","10","Dos de Mayo"
"1004","10","Huacaybamba"
"1005","10","Huamalíes"
"1006","10","Leoncio Prado"
"1007","10","Marañón"
"1008","10","Pachitea"
"1009","10","Puerto Inca"
"1010","10","Lauricocha "
"1011","10","Yarowilca "
"1101","11","Ica "
"1102","11","Chincha "
"1103","11","Nasca "
"1104","11","Palpa "
"1105","11","Pisco "
"1201","12","Huancayo "
"1202","12","Concepción "
"1203","12","Chanchamayo "
"1204","12","Jauja "
"1205","12","Junín "
"1206","12","Satipo "
"1207","12","Tarma "
"1208","12","Yauli "
"1209","12","Chupaca "
"1301","13","Trujillo "
"1302","13","Ascope "
"1303","13","Bolívar "
"1304","13","Chepén "
"1305","13","Julcán "
"1306","13","Otuzco "
"1307","13","Pacasmayo "
"1308","13","Pataz "
"1309","13","Sánchez Carrión "
"1310","13","Santiago de Chuco "
"1311","13","Gran Chimú "
"1312","13","Virú "
"1401","14","Chiclayo "
"1402","14","Ferreñafe "
"1403","14","Lambayeque "
"1501","15","Lima "
"1502","15","Barranca "
"1503","15","Cajatambo "
"1504","15","Canta "
"1505","15","Cañete "
"1506","15","Huaral "
"1507","15","Huarochirí "
"1508","15","Huaura "
"1509","15","Oyón "
"1510","15","Yauyos "
"1601","16","Maynas "
"1602","16","Alto Amazonas "
"1603","16","Loreto "
"1604","16","Mariscal Ramón Castilla "
"1605","16","Requena "
"1606","16","Ucayali "
"1607","16","Datem del Marañón "
"1608","16","Putumayo"
"1701","17","Tambopata "
"1702","17","Manu "
"1703","17","Tahuamanu "
"1801","18","Mariscal Nieto "
"1802","18","General Sánchez Cerro "
"1803","18","Ilo "
"1901","19","Pasco "
"1902","19","Daniel Alccod_provinciaes Carrión "
"1903","19","Oxapampa "
"2001","20","Piura "
"2002","20","Ayabaca "
"2003","20","Huancabamba "
"2004","20","Morropón "
"2005","20","Paita "
"2006","20","Sullana "
"2007","20","Talara "
"2008","20","Sechura "
"2101","21","Puno "
"2102","21","Azángaro "
"2103","21","Carabaya "
"2104","21","Chucuito "
"2105","21","El Collao "
"2106","21","Huancané "
"2107","21","Lampa "
"2108","21","Melgar "
"2109","21","Moho "
"2110","21","San Antonio de Putina "
"2111","21","San Román "
"2112","21","Sandia "
"2113","21","Yunguyo "
"2201","22","Moyobamba "
"2202","22","Bellavista "
"2203","22","El Dorado "
"2204","22","Huallaga "
"2205","22","Lamas "
"2206","22","Mariscal Cáceres "
"2207","22","Picota "
"2208","22","Rioja "
"2209","22","San Martín "
"2210","22","Tocache "
"2301","23","Tacna "
"2302","23","Candarave "
"2303","23","Jorge Basadre "
"2304","23","Tarata "
"2401","24","Tumbes "
"2402","24","Contralmirante Villar "
"2403","24","Zarumilla "
"2501","25","Coronel Portillo "
"2502","25","Atalaya "
"2503","25","Padre Abad "
"2504","25","Purús"
